OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
NPLOC4,PSMB4,PSMG4,LARS1,MRPS5,MFN2,NUP160,MED26,HYPK
NRBP1,PSMB5,PTPN23,LAS1L,MRTO4,MIS12,NUP205,MED27,IARS1
NRDE2,PSMB6,PUF60,LCE2A,MTBP,MIS18BP1,NUP214,MED28,IARS2
NRF1,PSMC2,PWP2,LCE5A,MTFMT,MMS22L,NUP85,MED29,ICE1
NSA2,PSMC3,PYROXD1,LETM1,MTOR,MOCS3,NUP88,MED30,IGBP1
NSF,PSMC5,QARS,LIN52,MTREX,MPHOSPH10,NUP93,MED31,IK
NSMCE1,PSMC6,RABGGTA,LIN9,MYBBP1A,MRPL10,NUP98,MED4,ILF2
NSMCE3,PSMD1,RABGGTB,LONP1,MYC,MRPL27,NUS1,MED6,ILF3
NUDC,PSMD11,RACGAP1,LRR1,MZT1,MRPL34,NUTF2,MED7,IMP3
NUDT21,PSMD13,RACK1,LSG1,NAA10,MRPL35,NVL,MED8,IMP4
NUF2,PSMD14,RAD21,LSM10,NAA15,MRPL41,NXF1,MEPCE,IMPDH2
NUP133,PSMD2,RAD9A,LSM11,NAA25,MRPL45,OGT,METAP2,INCENP
NUP205,PSMD3,RAE1,LSM2,NAA50,MRPL49,OIP5,METTL14,ING3
NUP214,PSMD4,RAN,LSM3,NACA,MRPS10,ORC1,METTL16,INO80
NUP43,PSMD6,RANGAP1,LSM4,NAPA,MRPS18A,ORC6,METTL3,INTS1
NUP54,PSMD7,RBBP5,LSM5,NAPG,MRPS21,OSGEP,MFAP1,INTS11
NUP62,PSMG3,RBBP6,LSM6,NARS1,MRPS22,PABPC1,MFN2,INTS2
NUP85,PSMG4,RBBP8,LSM7,NAT10,MRPS5,PABPN1,MIS12,INTS3
NUP88,PTPN23,RBM14,LSM8,NCAPD2,MRTO4,PAF1,MIS18BP1,INTS5
NUP93,PUF60,RBM17,LTO1,NCAPD3,MTBP,PAFAH1B1,MLST8,INTS6
NUS1,PWP1,RBM19,LTV1,NCAPG,MTOR,PAK1IP1,MMS19,INTS7
NUTF2,PWP2,RBM22,LUC7L3,NCAPG2,MTREX,PAM16,MMS22L,INTS8
NVL,QARS,RBM25,LYRM4,NCAPH,MYBBP1A,PAXBP1,MOB4,INTS9
NXF1,RABGGTA,RBM28,MAD2L1,NCAPH2,MZT1,PCBP1,MOCS3,IPO11
OGT,RABGGTB,RBM39,MAD2L1BP,NCBP1,NAA15,PCBP2,MPHOSPH10,IPO13
OIP5,RACGAP1,RBM48,MAD2L2,NCBP2,NAA20,PCF11,MRGBP,IPO7
ORC6,RACK1,RBM8A,MAGOH,NCL,NAA25,PCID2,MRPL34,IPO9
OSGEP,RAD17,RCC1,MAK16,NDC80,NAA50,PCNA,MRPL45,ISCA2
OSTC,RAD21,RFC2,MARS1,NDOR1,NACA,PDCD11,MRPS21,ISCU
PABPC1,RAD9A,RFC3,MARS2,NDUFA13,NAPA,PDCD2,MRTO4,ISG20L2
PABPN1,RAE1,RFC5,MASTL,NDUFB3,NARS1,PDCD7,MTBP,ISY1
PAF1,RAN,RFT1,MAT2A,NEDD1,NAT10,PDPK1,MTOR,ITGAV
PAFAH1B1,RBBP4,RIOK2,MAX,NEDD8,NCAPD2,PDRG1,MTREX,KANSL1
PAK1IP1,RBBP5,RNF113A,MBTD1,NELFA,NCAPG,PES1,MVK,KANSL2
PAM16,RBBP6,RNGTT,MCM10,NELFCD,NCAPG2,PFDN2,MYBBP1A,KANSL3
PAXBP1,RBBP8,RNMT,MCM2,NEPRO,NCAPH,PFDN5,MYC,KARS1
PCBP1,RBM14,RNPC3,MCM3,NFS1,NCBP1,PFDN6,MZT1,KAT5
PCBP2,RBM17,RNPS1,MCM3AP,NFYB,NCBP2,PHAX,NAA10,KAT8
PCF11,RBM19,ROMO1,MCM4,NFYC,NCL,PHB1,NAA15,KCMF1
PCID2,RBM22,RPA1,MCM5,NGDN,NDC80,PHB2,NAA20,KDM2A
PCNA,RBM25,RPA2,MCM6,NHP2,NDUFA13,PHF5A,NAA25,KIF11
PDAP1,RBM39,RPA3,MCM7,NIFK,NDUFB3,PISD,NAA50,KIF14
PDCD11,RBM48,RPAIN,MCRS1,NIP7,NDUFB4,PKMYT1,NACA,KIF18A
PDCD2,RBM8A,RPAP1,MDN1,NKAP,NDUFB9,PLK1,NAPA,KIF20A
PDRG1,RCC1,RPAP2,MED11,NLE1,NEDD1,PLK4,NAPG,KIF23
PELO,RFC2,RPE,MED14,NMD3,NEDD8,PLRG1,NARS1,KIF4A
PELP1,RFC3,RPL10,MED17,NOB1,NELFCD,PMF1,NAT10,KIN
PES1,RFC5,RPL10A,MED18,NOC2L,NEPRO,PMPCA,NCAPD2,KMT5A
PFDN1,RFT1,RPL11,MED20,NOC4L,NFS1,PMPCB,NCAPD3,KNL1
PFDN2,RIOK1,RPL12,MED21,NOL10,NFYB,PNN,NCAPG,KPNB1
PFDN6,RIOK2,RPL13,MED22,NOL11,NFYC,PNO1,NCAPG2,KRAS
PFN1,RNF113A,RPL14,MED26,NOL12,NGDN,PNPT1,NCAPH,KRR1
PGD,RNGTT,RPL15,MED27,NOL6,NHP2,POLA1,NCAPH2,KRTAP4-2
PGK1,RNMT,RPL17,MED28,NOL8,NIFK,POLA2,NCBP1,KTI12
PGS1,RNPC3,RPL18,MED29,NOL9,NIP7,POLD1,NCBP2,LAMTOR2
PHB,ROMO1,RPL18A,MED30,NOM1,NKAP,POLD2,NCL,LAMTOR3
PHB2,RPA1,RPL19,MED31,NOP10,NLE1,POLD3,NDC80,LARS1
PHF5A,RPA2,RPL23,MED4,NOP14,NMD3,POLE,NDOR1,LAS1L
PI4KA,RPA3,RPL23A,MED6,NOP16,NOB1,POLE2,NEDD1,LCE2A
PIK3C3,RPAIN,RPL24,MED7,NOP2,NOC2L,POLR1A,NEDD8,LCE5A
PKM,RPAP1,RPL26,MED8,NOP56,NOC3L,POLR1B,NELFA,LETM1
PKMYT1,RPE,RPL27,MED9,NOP58,NOC4L,POLR1C,NELFCD,LIN52
PLA2G10,RPF2,RPL27A,MEPCE,NOP9,NOL10,POLR1F,NEPRO,LIN9
PLK1,RPL10,RPL3,METAP1,NOPCHAP1,NOL11,POLR1H,NFS1,LONP1
PLK4,RPL10A,RPL31,METAP2,NPAT,NOL12,POLR2B,NFYB,LRPPRC
PLRG1,RPL11,RPL32,METTL14,NPLOC4,NOL6,POLR2C,NFYC,LRR1
PMF1,RPL12,RPL35,METTL16,NRDE2,NOL7,POLR2D,NGDN,LSG1
PMPCA,RPL13,RPL36,METTL17,NRF1,NOL8,POLR2E,NHP2,LSM10
PMPCB,RPL14,RPL37,METTL3,NSA2,NOL9,POLR2F,NIFK,LSM11
PNPT1,RPL15,RPL37A,MFAP1,NSF,NOM1,POLR2G,NIP7,LSM2
POLA1,RPL17,RPL38,MFN2,NSL1,NOP10,POLR2H,NKAP,LSM3
POLA2,RPL18,RPL4,MIS12,NSMCE3,NOP14,POLR2I,NLE1,LSM4
POLD1,RPL18A,RPL5,MIS18A,NUBP1,NOP16,POLR2L,NMD3,LSM5
POLD3,RPL19,RPL6,MIS18BP1,NUDC,NOP2,POLR3A,NOB1,LSM6
POLE,RPL23,RPL7,MMS19,NUDT21,NOP56,POLR3B,NOC2L,LSM7
POLE2,RPL23A,RPL7A,MMS22L,NUF2,NOP58,POLR3C,NOC3L,LSM8
POLR1A,RPL24,RPL8,MOB4,NUFIP1,NOP9,POLR3E,NOC4L,LTO1
POLR1B,RPL26,RPL9,MOCS3,NUMA1,NOPCHAP1,POLR3F,NOL10,LTV1
POLR1C,RPL27,RPLP0,MPHOSPH10,NUP107,NPAT,POLR3H,NOL11,LUC7L3
POLR1E,RPL27A,RPLP2,MRGBP,NUP133,NPLOC4,POLR3K,NOL12,LYRM4
POLR2B,RPL3,RPN1,MRPL10,NUP153,NRBP1,POMP,NOL6,MAD2L1
POLR2C,RPL31,RPP14,MRPL27,NUP155,NRDE2,POP1,NOL8,MAD2L1BP
POLR2D,RPL32,RPP21,MRPL34,NUP160,NRF1,POP4,NOL9,MAD2L2
POLR2E,RPL34,RPP30,MRPL35,NUP205,NSA2,POP5,NOM1,MAGOH
POLR2F,RPL35,RPP40,MRPL36,NUP214,NSF,PPAN,NOP10,MAK16
POLR2G,RPL36,RPS11,MRPL4,NUP58,NSL1,PPIE,NOP14,MARS1
POLR2H,RPL37,RPS12,MRPL41,NUP85,NSMCE3,PPIL2,NOP16,MARS2
POLR2I,RPL37A,RPS13,MRPL45,NUP88,NSRP1,PPIL4,NOP2,MASTL
POLR2K,RPL38,RPS14,MRPL49,NUP93,NUBP1,PPP1CA,NOP56,MAT2A
POLR2L,RPL4,RPS15,MRPS10,NUP98,NUDC,PPP1CB,NOP58,MAX
POLR3A,RPL5,RPS15A,MRPS18A,NUS1,NUDT21,PPP1R10,NOP9,MBTPS1
POLR3B,RPL6,RPS16,MRPS21,NUTF2,NUF2,PPP1R11,NOPCHAP1,MCL1
POLR3E,RPL7,RPS17,MRPS22,NVL,NUFIP1,PPP1R12A,NPAT,MCM10
POLR3F,RPL7A,RPS18,MRPS5,NXF1,NUMA1,PPP1R7,NPLOC4,MCM2
POLR3H,RPL8,RPS19,MRTO4,OGT,NUP107,PPP1R8,NRBP1,MCM3
POLR3K,RPL9,RPS2,MTBP,OIP5,NUP133,PPP2CA,NRDE2,MCM3AP
POP5,RPLP0,RPS20,MTOR,ORC1,NUP153,PPP4C,NRF1,MCM4
POP7,RPLP1,RPS24,MTREX,ORC2,NUP155,PPWD1,NSA2,MCM5
POTEG,RPLP2,RPS25,MYBBP1A,ORC3,NUP160,PRC1,NSF,MCM6
PPA1,RPN1,RPS27A,MYC,ORC4,NUP205,PREB,NSL1,MCM7
PPAN,RPP14,RPS28,MZT1,ORC6,NUP214,PRELID1,NSMCE3,MCRS1
PPIL1,RPP21,RPS29,NAA15,OSGEP,NUP58,PRELID3B,NUBP1,MDN1
PPIL4,RPP30,RPS3,NAA20,PA2G4,NUP62,PRIM1,NUDC,MED1
PPP1R10,RPP40,RPS3A,NAA25,PABPC1,NUP85,PRMT1,NUDT21,MED11
PPP1R11,RPS11,RPS4X,NAA50,PABPN1,NUP88,PRMT5,NUF2,MED14
PPP1R12A,RPS12,RPS6,NACA,PAF1,NUP93,PRPF18,NUFIP1,MED17
PPP1R15B,RPS13,RPS8,NAPA,PAFAH1B1,NUP98,PRPF19,NUMA1,MED18
PPP1R2,RPS14,RPS9,NAPG,PAK1IP1,NUS1,PRPF3,NUP107,MED20
PPP1R8,RPS15,RRM1,NARS1,PAM16,NUTF2,PRPF31,NUP133,MED21
PPP2CA,RPS15A,RRM2,NASP,PAXBP1,NVL,PRPF38A,NUP153,MED22
PPP2R1A,RPS16,RRN3,NAT10,PCBP1,NXF1,PRPF38B,NUP155,MED26
PPP2R3C,RPS17,RRP12,NCAPD2,PCBP2,OGT,PRPF4,NUP160,MED27
PPP4C,RPS18,RRS1,NCAPG,PCF11,OIP5,PRPF40A,NUP205,MED28
PPP6C,RPS19,RSL1D1,NCAPG2,PCID2,ORC1,PRPF4B,NUP214,MED29
PPWD1,RPS2,RSL24D1,NCAPH,PCNA,ORC6,PRPF6,NUP43,MED30
PRC1,RPS20,RTCB,NCBP1,PDAP1,OSBP,PRPF8,NUP85,MED31
PRELID1,RPS23,RUVBL1,NCBP2,PDCD11,OSGEP,PSMA1,NUP88,MED4
PRELID3B,RPS24,RUVBL2,NCL,PDCD2,OXA1L,PSMA2,NUP93,MED6
PRIM1,RPS25,SACM1L,NDC80,PDCD7,PA2G4,PSMA3,NUP98,MED7
PRMT1,RPS27A,SAE1,NDOR1,PDPK1,PABPN1,PSMA4,NUS1,MED8
PRMT5,RPS28,SAP18,NDUFA13,PDRG1,PAF1,PSMA5,NUTF2,MED9
PRPF19,RPS29,SAP30BP,NDUFAB1,PELP1,PAFAH1B1,PSMA6,NVL,MEPCE
PRPF3,RPS3,SARS,NDUFAF8,PES1,PAICS,PSMA7,NXF1,METAP1
PRPF31,RPS3A,SART3,NDUFB10,PFDN2,PAK1IP1,PSMB1,OGT,METAP2
PRPF38A,RPS4X,SASS6,NDUFB3,PFDN5,PAM16,PSMB2,OIP5,METTL14
PRPF38B,RPS6,SBDS,NDUFB4,PFDN6,PAXBP1,PSMB3,ORC1,METTL16
PRPF4,RPS8,SBNO1,NDUFB9,PGGT1B,PCBP1,PSMB4,ORC6,METTL17
PRPF40A,RPS9,SCAP,NEDD1,PHAX,PCBP2,PSMB5,OSGEP,METTL3
PRPF6,RRM1,SCFD1,NEDD8,PHB1,PCF11,PSMB6,OXA1L,MFAP1
PRPF8,RRM2,SDE2,NELFA,PHB2,PCID2,PSMB7,PA2G4,MFN2
PSMA1,RRN3,SEC13,NELFB,PHF5A,PCNA,PSMC1,PABPC1,MIS12
PSMA2,RRP1,SEC61A1,NELFCD,PI4KA,PDAP1,PSMC2,PABPN1,MIS18A
PSMA3,RRP12,SEH1L,NELFE,PIP5K1A,PDCD11,PSMC3,PAF1,MIS18BP1
PSMA4,RRS1,SENP6,NEPRO,PISD,PDCD7,PSMC4,PAFAH1B1,MLST8
PSMA5,RSL1D1,SF1,NFS1,PKMYT1,PDPK1,PSMC5,PAK1IP1,MMS19
PSMA6,RSL24D1,SF3A1,NFYB,PLK1,PDRG1,PSMC6,PAM16,MMS22L
PSMA7,RTCB,SF3A2,NFYC,PLK4,PELP1,PSMD1,PAXBP1,MNAT1
PSMB2,RUVBL1,SF3A3,NGDN,PLRG1,PES1,PSMD11,PCBP1,MOB4
PSMB3,RUVBL2,SF3B1,NHP2,PMF1,PFDN2,PSMD12,PCBP2,MOCS3
PSMB4,SACM1L,SF3B2,NIFK,PMPCA,PFDN5,PSMD13,PCF11,MPHOSPH10
PSMB5,SAE1,SF3B3,NIP7,PMPCB,PFDN6,PSMD14,PCID2,MRGBP
PSMB6,SAP18,SF3B4,NKAP,PNN,PHAX,PSMD2,PCNA,MRPL10
PSMB7,SAP30BP,SF3B5,NLE1,PNO1,PHB1,PSMD3,PCYT1A,MRPL17
PSMC2,SARS,SFPQ,NMD3,PNPT1,PHB2,PSMD4,PDAP1,MRPL21
PSMC3,SART1,SGO1,NOB1,POLA1,PHF5A,PSMD6,PDCD11,MRPL27
PSMC5,SART3,SHQ1,NOC2L,POLA2,PI4KA,PSMD7,PDCD2,MRPL34
PSMC6,SASS6,SLC39A7,NOC3L,POLD1,PIK3R4,PSMD8,PDCD7,MRPL35
PSMD1,SBDS,SLC7A6OS,NOC4L,POLD2,PIP5K1A,PSMG3,PDPK1,MRPL36
PSMD11,SBNO1,SLU7,NOL10,POLD3,PISD,PSMG4,PDRG1,MRPL38
PSMD12,SCAP,SMARCB1,NOL11,POLE,PKM,PTPN23,PELP1,MRPL39
PSMD13,SCFD1,SMC1A,NOL12,POLE2,PKMYT1,PUF60,PES1,MRPL4
PSMD14,SDE2,SMC2,NOL6,POLR1A,PLK1,PWP1,PFDN2,MRPL41
PSMD2,SEC13,SMC3,NOL7,POLR1B,PLK4,PWP2,PFDN5,MRPL45
PSMD3,SEC61A1,SMC4,NOL8,POLR1C,PLRG1,QARS1,PFDN6,MRPL49
PSMD4,SEC61G,SMG1,NOL9,POLR1D,PMF1,RABGGTA,PFN1,MRPL53
PSMD6,SEH1L,SMG6,NOM1,POLR1E,PMPCA,RABGGTB,PGD,MRPL57
PSMD7,SENP6,SMNDC1,NOP10,POLR1F,PMPCB,RACGAP1,PHAX,MRPS10
PSMG2,SEPHS2,SMU1,NOP14,POLR1G,PNISR,RACK1,PHB1,MRPS11
PSMG3,SF1,SNAPC1,NOP16,POLR1H,PNN,RAD17,PHB2,MRPS12
PSMG4,SF3A1,SNAPC2,NOP2,POLR2B,PNO1,RAD21,PHF5A,MRPS14
PTPA,SF3A2,SNAPC3,NOP53,POLR2C,PNPT1,RAD51,PI4KA,MRPS16
PTPMT1,SF3A3,SNAPC5,NOP56,POLR2D,POLA1,RAD51C,PIK3C3,MRPS18A
PTPN23,SF3B1,SNRNP200,NOP58,POLR2E,POLA2,RAE1,PISD,MRPS21
PUF60,SF3B2,SNRNP25,NOP9,POLR2F,POLD1,RAN,PKMYT1,MRPS22
PWP1,SF3B3,SNRNP27,NOPCHAP1,POLR2G,POLD2,RANGAP1,PLK1,MRPS23
PWP2,SF3B4,SNRNP35,NPAT,POLR2H,POLD3,RARS1,PLK4,MRPS25
PYROXD1,SF3B5,SNRNP70,NPLOC4,POLR2I,POLE,RBBP4,PLRG1,MRPS34
QARS,SFPQ,SNRPA1,NRBP1,POLR2L,POLE2,RBBP5,PMF1,MRPS5
RAB6A,SGO1,SNRPB,NRDE2,POLR3A,POLR1A,RBBP6,PMPCA,MRTO4
RABGGTA,SHQ1,SNRPC,NRF1,POLR3B,POLR1B,RBBP8,PMPCB,MSTO1
RABGGTB,SLC39A7,SNRPD1,NSA2,POLR3C,POLR1C,RBM14,PNN,MTBP
RACGAP1,SLC7A6OS,SNRPD2,NSF,POLR3D,POLR1F,RBM17,PNO1,MTG2
RACK1,SLU7,SNRPD3,NSL1,POLR3E,POLR1H,RBM19,PNPT1,MTOR
RAD17,SMC1A,SNRPE,NSMCE3,POLR3F,POLR2B,RBM22,POLA1,MTPAP
RAD21,SMC2,SNRPF,NUBP1,POLR3H,POLR2C,RBM25,POLA2,MTREX
RAD51,SMC3,SNRPG,NUBP2,POLR3K,POLR2D,RBM39,POLD1,MVD
RAD51D,SMC4,SNU13,NUDC,POM121C,POLR2E,RBM48,POLD2,MVK
RAD9A,SMG1,SNW1,NUDT21,POP1,POLR2F,RBM8A,POLD3,MYBBP1A
RAE1,SMG6,SOD1,NUF2,POP4,POLR2G,RBMX,POLE,MYC
RAN,SMU1,SON,NUFIP1,POP5,POLR2H,RBMX2,POLE2,MYH9
RANGAP1,SNAPC1,SPATA5,NUMA1,POP7,POLR2I,RBMXL1,POLR1A,MZT1
RARS2,SNAPC2,SPATA5L1,NUP107,PPAN,POLR2L,RBX1,POLR1B,NAA10
RBBP4,SNAPC3,SPC24,NUP133,PPIE,POLR3A,RCC1,POLR1C,NAA15
RBBP5,SNAPC5,SPC25,NUP153,PPIL2,POLR3B,RCL1,POLR1E,NAA20
RBBP6,SNIP1,SPCS3,NUP155,PPIL4,POLR3C,RFC2,POLR1F,NAA25
RBBP8,SNRNP200,SPOUT1,NUP160,PPP1CA,POLR3E,RFC3,POLR1H,NAA35
RBM14,SNRNP25,SRBD1,NUP205,PPP1CB,POLR3F,RFC4,POLR2B,NAA50
RBM17,SNRNP27,SRP14,NUP214,PPP1R10,POLR3H,RFC5,POLR2C,NACA
RBM19,SNRNP35,SRP54,NUP43,PPP1R11,POLR3K,RFT1,POLR2D,NAE1
RBM22,SNRNP70,SRP72,NUP50,PPP1R12A,POMP,RHEB,POLR2E,NAPA
RBM25,SNRPA1,SRSF1,NUP54,PPP1R14B,POP1,RHOQ,POLR2F,NAPG
RBM28,SNRPB,SRSF11,NUP58,PPP1R2,POP4,RINT1,POLR2G,NARS1
RBM39,SNRPC,SRSF2,NUP62,PPP1R7,POP5,RIOK1,POLR2H,NAT10
RBM48,SNRPD1,SRSF3,NUP85,PPP1R8,PPAN,RIOK2,POLR2I,NBAS
RBM8A,SNRPD2,SRSF7,NUP88,PPP2R1A,PPAT,RNF113A,POLR2L,NCAPD2
RCC1,SNRPD3,SS18L2,NUP93,PPP4C,PPIE,RNF20,POLR3A,NCAPD3
RFC2,SNRPE,SSRP1,NUP98,PPWD1,PPIL2,RNGTT,POLR3B,NCAPG
RFC3,SNRPF,SSU72,NUS1,PRC1,PPIL4,RNMT,POLR3C,NCAPG2
RFC5,SNRPG,SUPT16H,NUTF2,PREB,PPP1CA,RNPC3,POLR3E,NCAPH
RFT1,SNU13,SUPT5H,NVL,PRELID1,PPP1CB,RNPS1,POLR3F,NCAPH2
RIC1,SNUPN,SUPT6H,NXF1,PRELID3B,PPP1R10,ROMO1,POLR3H,NCBP1
RIOK1,SNW1,SUPV3L1,OGDH,PRIM1,PPP1R11,RPA1,POLR3K,NCBP2
RIOK2,SOD1,SYF2,OGT,PRMT1,PPP1R14B,RPA2,POMP,NCL
RNF113A,SOD2,SYMPK,OIP5,PRMT5,PPP1R7,RPA3,POP1,NDC80
RNGTT,SON,SYS1,OPA1,PRPF18,PPP1R8,RPAIN,POP4,NDOR1
RNMT,SPATA5,TAF1C,ORC1,PRPF19,PPP4C,RPAP1,POP5,NDUFA13
RNPC3,SPATA5L1,TAF5,ORC3,PRPF3,PPWD1,RPAP2,POP7,NDUFAB1
RNPS1,SPC24,TAF6,ORC4,PRPF31,PRAC1,RPAP3,PPA1,NDUFAF8
ROMO1,SPC25,TAF7,ORC6,PRPF38A,PRC1,RPF1,PPAN,NDUFB10
RPA1,SPCS3,TAF8,OSBP,PRPF38B,PREB,RPF2,PPIE,NDUFB3
RPA2,SPOUT1,TAMM41,OSGEP,PRPF4,PRELID1,RPL10,PPIL2,NDUFB4
RPA3,SRBD1,TANGO6,OXA1L,PRPF40A,PRELID3B,RPL10A,PPIL4,NDUFB9
RPAIN,SRFBP1,TARDBP,PA2G4,PRPF4B,PRIM1,RPL11,PPP1CA,NDUFS2
RPAP1,SRP14,TARS,PABPC1,PRPF6,PRMT1,RPL12,PPP1CB,NDUFS5
RPAP2,SRP54,TARS2,PABPN1,PRPF8,PRMT5,RPL13,PPP1R10,NEDD1
RPE,SRP72,TBC1D3B,PAF1,PSMA1,PRPF18,RPL14,PPP1R11,NEDD8
RPF2,SRRM1,TBCB,PAFAH1B1,PSMA2,PRPF19,RPL17,PPP1R12A,NELFA
RPL10,SRSF1,TBCC,PAICS,PSMA3,PRPF3,RPL18,PPP1R15B,NELFB
RPL10A,SRSF11,TBCD,PAK1IP1,PSMA4,PRPF31,RPL18A,PPP1R2,NELFCD
RPL11,SRSF2,TBL3,PAM16,PSMA5,PRPF38A,RPL19,PPP1R7,NELFE
RPL12,SRSF3,TCP1,PAXBP1,PSMA6,PRPF38B,RPL23,PPP1R8,NEPRO
RPL13,SRSF7,TERF2,PCBP1,PSMA7,PRPF4,RPL24,PPP2CA,NFS1
RPL14,SS18L2,TFRC,PCBP2,PSMB1,PRPF40A,RPL26,PPP2R1A,NFYB
RPL15,SSRP1,THAP1,PCF11,PSMB2,PRPF4B,RPL27,PPP4C,NFYC
RPL17,SSU72,THOC1,PCID2,PSMB3,PRPF6,RPL27A,PPP4R2,NGDN
RPL18,SUPT16H,THOC2,PCNA,PSMB4,PRPF8,RPL28,PPWD1,NHLRC2
RPL18A,SUPT5H,THOC3,PCYT1A,PSMB7,PRR13,RPL3,PRC1,NHP2
RPL19,SUPT6H,THOC5,PDAP1,PSMC1,PSMA1,RPL30,PREB,NIFK
RPL23,SUPV3L1,THOC7,PDCD11,PSMC2,PSMA2,RPL31,PRELID1,NIP7
RPL23A,SYF2,TICRR,PDCD2,PSMC3,PSMA3,RPL32,PRELID3B,NKAP
RPL24,SYMPK,TIMELESS,PDCD7,PSMC4,PSMA4,RPL35,PRIM1,NLE1
RPL26,SYS1,TIMM10,PDE4DIP,PSMC5,PSMA5,RPL36,PRMT1,NMD3
RPL27,TAF1C,TIMM8A,PDPK1,PSMC6,PSMA6,RPL36AL,PRMT5,NMT1
RPL27A,TAF5,TINF2,PDRG1,PSMD1,PSMA7,RPL37,PRPF18,NOB1
RPL3,TAF6,TMA16,PELO,PSMD11,PSMB1,RPL37A,PRPF19,NOC2L
RPL31,TAF7,TNPO3,PELP1,PSMD12,PSMB2,RPL38,PRPF3,NOC3L
RPL32,TAF8,TOMM22,PES1,PSMD13,PSMB3,RPL4,PRPF31,NOC4L
RPL34,TAMM41,TOMM40,PFDN2,PSMD14,PSMB4,RPL5,PRPF38A,NOL10
RPL35,TANGO6,TONSL,PFDN5,PSMD2,PSMB5,RPL7,PRPF38B,NOL11
RPL36,TARDBP,TOP2A,PFDN6,PSMD3,PSMB6,RPL7A,PRPF4,NOL12
RPL37,TARS,TOP3A,PFN1,PSMD4,PSMB7,RPL8,PRPF40A,NOL6
RPL37A,TBC1D3B,TPR,PGGT1B,PSMD6,PSMC1,RPLP0,PRPF4B,NOL7
RPL38,TBCB,TPX2,PHAX,PSMD7,PSMC2,RPLP1,PRPF6,NOL8
RPL4,TBCC,TRAIP,PHB1,PSMD8,PSMC3,RPLP2,PRPF8,NOL9
RPL5,TBL3,TRAPPC1,PHB2,PSMG3,PSMC4,RPN1,PSMA1,NOM1
RPL6,TCP1,TRAPPC11,PHF5A,PTPN11,PSMC5,RPP14,PSMA2,NOP10
RPL7,TERF1,TRAPPC3,PI4KA,PTPN23,PSMC6,RPP30,PSMA3,NOP14
RPL7A,TERF2,TRAPPC4,PIK3R4,PUF60,PSMD1,RPP38,PSMA4,NOP16
RPL8,TFRC,TRAPPC8,PIP5K1A,PWP1,PSMD11,RPS11,PSMA5,NOP2
RPL9,THAP1,TRIAP1,PISD,PWP2,PSMD12,RPS12,PSMA6,NOP53
RPLP0,THOC1,TRMT112,PKM,PYROXD1,PSMD13,RPS13,PSMA7,NOP56
RPLP1,THOC7,TRNT1,PKMYT1,QARS1,PSMD14,RPS14,PSMB1,NOP58
RPLP2,TICRR,TRRAP,PLK1,RAB1B,PSMD2,RPS15,PSMB2,NOP9
RPN1,TIMELESS,TSR1,PLK4,RABGGTA,PSMD3,RPS15A,PSMB3,NOPCHAP1
RPN2,TIMM10,TSR2,PLRG1,RABGGTB,PSMD4,RPS16,PSMB4,NPAT
RPP14,TIMM8A,TTC27,PMF1,RAC1,PSMD6,RPS18,PSMB5,NPLOC4
RPP21,TINF2,TTI1,PMPCA,RACGAP1,PSMD7,RPS19,PSMB6,NRBP1
RPP30,TLN1,TTI2,PMPCB,RACK1,PSMD8,RPS20,PSMB7,NRDE2
RPP40,TMA16,TUBB,PNISR,RAD1,PSMG3,RPS21,PSMC1,NRF1
RPS11,TMEM258,TUBG1,PNN,RAD17,PSMG4,RPS23,PSMC2,NSA2
RPS12,TNPO3,TUBGCP2,PNO1,RAD21,PTCD3,RPS24,PSMC3,NSF
RPS13,TOMM22,TUBGCP3,PNPT1,RAD51,PTPN23,RPS25,PSMC4,NSL1
RPS14,TOMM40,TUBGCP4,POLA1,RAD51C,PUF60,RPS27A,PSMC5,NSMCE3
RPS15,TONSL,TUBGCP5,POLA2,RAE1,PWP1,RPS29,PSMC6,NSRP1
RPS15A,TOP2A,TUT1,POLD1,RAN,PWP2,RPS3,PSMD1,NUBP1
RPS16,TOP3A,TWISTNB,POLD2,RANBP2,QARS1,RPS4X,PSMD11,NUBP2
RPS17,TOPBP1,TXN,POLD3,RANGAP1,RABGGTA,RPS5,PSMD12,NUDC
RPS18,TPX2,TXNL4A,POLE,RAP1B,RABGGTB,RPS6,PSMD13,NUDCD3
RPS19,TRAIP,U2AF2,POLE2,RARS1,RAC1,RPS7,PSMD14,NUDT21
RPS2,TRAPPC1,U2SURP,POLR1A,RBBP4,RACGAP1,RPS8,PSMD2,NUF2
RPS20,TRAPPC11,UBA1,POLR1B,RBBP5,RACK1,RPS9,PSMD3,NUFIP1
RPS23,TRAPPC3,UBA2,POLR1C,RBBP6,RAD1,RPTOR,PSMD4,NUMA1
RPS24,TRAPPC4,UBA3,POLR1D,RBBP8,RAD17,RRM1,PSMD6,NUP107
RPS25,TRAPPC8,UBC,POLR1E,RBM14,RAD21,RRM2,PSMD7,NUP133
RPS27A,TRIAP1,UBE2I,POLR1F,RBM17,RAD51,RRP1,PSMD8,NUP153
RPS28,TRMT112,UBE2M,POLR1H,RBM19,RAD51C,RRP12,PSMG3,NUP155
