OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
CENPT,CMPK1,COPS5,CCT8,CDK1,CEBPZ,CHAF1B,CDC45,CAPZB
CENPW,CMTR1,COPS6,CDC123,CDK12,CELSR2,CHCHD4,CDC5L,CARS1
CEP131,CNIH4,COPS8,CDC16,CDK4,CENATAC,CHD4,CDC6,CCAR1
CEP192,CNOT3,COPZ1,CDC20,CDK7,CENPC,CHEK1,CDC7,CCDC115
CFAP298,COG3,CPSF1,CDC23,CDK9,CENPE,CHERP,CDC73,CCDC174
CFL1,COPA,CPSF2,CDC26,CDT1,CENPH,CHMP2A,CDCA5,CCDC59
CFLAR,COPB1,CPSF3,CDC27,CEBPZ,CENPI,CHMP3,CDCA8,CCDC86
CHAF1A,COPB2,CPSF4,CDC37,CENATAC,CENPK,CHMP6,CDK1,CCNA2
CHAF1B,COPE,CRCP,CDC40,CENPC,CENPL,CIAO1,CDK12,CCNB1
CHCHD1,COPG1,CRNKL1,CDC42,CENPE,CENPM,CIAO2B,CDK4,CCND1
CHCHD4,COPS3,CSE1L,CDC45,CENPH,CENPN,CIAO3,CDK6,CCNH
CHD4,COPS4,CSNK2B,CDC5L,CENPK,CENPT,CIAPIN1,CDK7,CCNK
CHEK1,COPS5,CSTF1,CDC6,CENPL,CENPW,CINP,CDK9,CCNL1
CHERP,COPS6,CTCF,CDC7,CENPN,CEP192,CKAP5,CDT1,CCT2
CHMP2A,COPS8,CTDP1,CDC73,CENPT,CFAP298,CLNS1A,CEBPZ,CCT3
CHMP3,COPZ1,CTNNBL1,CDCA5,CENPW,CHAF1A,CLP1,CENATAC,CCT4
CHMP4B,CPSF1,CUL1,CDCA8,CEP192,CHAF1B,CLSPN,CENPC,CCT5
CHMP5,CPSF2,CWC22,CDK1,CFAP298,CHCHD1,CLTC,CENPE,CCT6A
CHMP6,CPSF3,CYCS,CDK12,CHAF1A,CHCHD4,CNOT3,CENPK,CCT7
CHORDC1,CPSF4,DAD1,CDK2,CHAF1B,CHD4,COPA,CENPM,CCT8
CIAO1,CRCP,DARS,CDK4,CHCHD4,CHEK1,COPB1,CENPN,CDAN1
CIAO2B,CRKL,DBR1,CDK7,CHD4,CHERP,COPB2,CENPW,CDC123
CIAO3,CRNKL1,DCTN5,CDK9,CHEK1,CHMP2A,COPE,CEP192,CDC16
CIAPIN1,CSE1L,DCTN6,CDT1,CHERP,CHMP3,COPG1,CFAP298,CDC20
CINP,CSNK2B,DDB1,CEBPZ,CHMP2A,CHMP6,COPS2,CFLAR,CDC23
CKAP5,CSTF1,DDX10,CENATAC,CHMP3,CIAO1,COPS4,CHAF1A,CDC26
CLNS1A,CSTF3,DDX23,CENPA,CHMP4B,CIAO2B,COPS5,CHAF1B,CDC27
CLP1,CTCF,DDX24,CENPC,CHMP6,CIAO3,COPS6,CHCHD4,CDC37
CLTC,CTDP1,DDX3X,CENPE,CHMP7,CIAPIN1,COPS8,CHD4,CDC40
CMPK1,CUL2,DDX41,CENPH,CIAO1,CINP,COPZ1,CHEK1,CDC42
CMTR1,CWC22,DDX42,CENPI,CIAO2B,CKAP5,COX17,CHERP,CDC45
CNIH4,DAD1,DDX47,CENPK,CIAO3,CLNS1A,CPSF1,CHMP2A,CDC5L
CNOT3,DARS,DDX49,CENPL,CIAPIN1,CLP1,CPSF2,CHMP3,CDC6
COASY,DBR1,DDX54,CENPM,CINP,CLSPN,CPSF3,CHMP4B,CDC7
COG3,DCTN5,DDX55,CENPN,CKAP5,CLTC,CPSF4,CHMP5,CDC73
COPA,DCTN6,DDX56,CENPT,CLNS1A,CMPK1,CPSF6,CHMP6,CDCA5
COPB1,DDB1,DHDDS,CENPW,CLP1,CMTR1,CRCP,CHMP7,CDCA8
COPB2,DDOST,DHPS,CEP192,CLSPN,CNOT1,CRNKL1,CIAO1,CDIPT
COPE,DDX10,DHX15,CFAP298,CLTC,CNOT3,CSE1L,CIAO2B,CDK1
COPG1,DDX23,DHX33,CHAF1A,CMPK1,COG1,CSNK1A1,CIAO3,CDK12
COPS3,DDX24,DHX37,CHAF1B,CMTR1,COG8,CSTF1,CIAPIN1,CDK2
COPS4,DDX3X,DHX8,CHCHD1,CNOT1,COPA,CSTF3,CINP,CDK4
COPS5,DDX41,DKC1,CHCHD4,CNOT3,COPB1,CTCF,CKAP5,CDK6
COPS6,DDX42,DMAP1,CHD4,COG1,COPB2,CTDP1,CLNS1A,CDK7
COPS8,DDX47,DNAJC17,CHEK1,COG3,COPE,CTNNBL1,CLP1,CDK9
COPZ1,DDX49,DNAJC9,CHERP,COPA,COPS2,CTR9,CLSPN,CDT1
COX7C,DDX51,DNM2,CHMP2A,COPB1,COPS3,CUL3,CLTC,CEBPZ
CPSF1,DDX54,DONSON,CHMP3,COPB2,COPS4,CWC22,CMPK1,CENATAC
CPSF2,DDX55,DPAGT1,CHMP6,COPE,COPS5,DAD1,CMTR1,CENPA
CPSF3,DDX56,DPH3,CIAO1,COPG1,COPS6,DARS1,CNOT1,CENPC
CPSF4,DHDDS,DTL,CIAO2B,COPS2,COPS8,DBR1,CNOT3,CENPE
CRCP,DHX15,DTYMK,CIAO3,COPS3,COPZ1,DCTN2,COG1,CENPH
CRKL,DHX33,DUT,CIAPIN1,COPS4,COX17,DCTN4,COG3,CENPI
CRNKL1,DHX37,DUX4,CINP,COPS5,COX6A1,DCTN5,COG8,CENPK
