,gene,prediction
91,HAO1,0.9422388076782227
92,GAS2L3,0.07980433106422424
93,TGFBR3,0.9688215255737305
94,LTK,0.889758288860321
95,PRMT1,0.18340401351451874
96,NOSIP,0.34318727254867554
97,NKAIN4,0.9969272017478943
98,CHFR,0.3221592903137207
99,CACNA2D3,0.9794453978538513
100,CCL17,0.9401808977127075
101,ABCG1,0.8805549740791321
102,OR1D2,0.9880593419075012
103,ATP6V1D,0.19288767874240875
104,ATRN,0.9818360805511475
105,BEND2,0.5667681694030762
106,UNC5CL,0.7747786045074463
107,NRN1,0.9149388074874878
108,FIGLA,0.9368752837181091
109,ELF4,0.6868219375610352
110,MRPS18B,0.4014072120189667
111,CDC42EP1,0.7213016152381897
112,SYT4,0.8740421533584595
113,TMEM268,0.9886838793754578
114,HSPA2,0.15436984598636627
115,FANCC,0.49866005778312683
116,ITFG1,0.054736100137233734
117,HIF1AN,0.3725813627243042
118,SEC23A,0.17171482741832733
119,C16orf96,0.9677457809448242
120,C1orf198,0.47736090421676636
121,SMYD4,0.8086150288581848
122,SMIM2,0.9994662404060364
123,KIF22,0.11016958951950073
124,MTIF2,0.17400839924812317
125,ARID5B,0.5430846214294434
126,CSNK2A1,0.3150349259376526
127,DPY19L1,0.8916626572608948
128,TBX21,0.8366253972053528
129,OR5F1,0.8737223148345947
130,OLIG3,0.6124124526977539
131,KLHL29,0.692827582359314
132,GOSR1,0.40123963356018066
133,MEIG1,0.9990035891532898
134,ARC,0.7522689700126648
135,H1-0,0.119673952460289
136,TRNT1,0.35332298278808594
137,CHAC2,0.1384275257587433
138,PURG,0.4144734740257263
139,CHI3L2,0.9912439584732056
140,MYOF,0.725730836391449
141,KIF1C,0.8867517709732056
142,SPEG,0.9648579359054565
143,C8G,0.9549424648284912
144,QRICH2,0.9484907984733582
145,PRR15L,0.9957757592201233
146,ANKMY1,0.9687591791152954
147,LMNB1,0.10609573870897293
148,ZFP36,0.7500049471855164
149,PNMA2,0.8879668116569519
150,BHLHA15,0.07024741172790527
151,PRKAA1,0.3583618700504303
152,MKRN1,0.485770583152771
153,TGFB3,0.9275815486907959
154,APOA1,0.9525808691978455
155,MAN2B1,0.9870219826698303
156,XKR3,0.9202067852020264
157,HEPACAM2,0.2259218841791153
158,ADAP1,0.7736468315124512
159,CCR9,0.9969815611839294
160,KRT18,0.7250956892967224
161,SS18L2,0.8305985331535339
162,NXNL2,0.7499502897262573
163,KRT74,0.7926332950592041
164,PARP6,0.598347544670105
165,SLX4,0.3914593756198883
166,BPHL,0.6909162998199463
167,BTD,0.7409458160400391
168,SS18,0.38057664036750793
169,DSCAM,0.9190297722816467
170,PDXP,0.5207197666168213
171,MYO7B,0.6488838195800781
172,CNNM3,0.7707959413528442
173,ZFX,0.9425301551818848
174,ETAA1,0.534265398979187
175,ZNF445,0.8156469464302063
176,RAPGEF1,0.8190869688987732
177,BTN3A3,0.9935945868492126
178,ADCY1,0.958133339881897
179,ALG13,0.8492456078529358
180,MYOM2,0.9447190165519714
181,THAP9,0.7628046274185181
182,TMEM270,0.8591477870941162
183,SLAMF9,0.9894396662712097
184,DSEL,0.97782301902771
185,PFKM,0.44640904664993286
186,SYT5,0.9992347955703735
187,ATP8A2,0.7549706697463989
188,KAZN,0.8990155458450317
189,CCDC6,0.28287509083747864
190,C20orf85,0.8246719837188721
191,ROS1,0.8677889704704285
192,RGMA,0.9158632755279541
193,PCMTD2,0.7282757759094238
194,RAB11FIP4,0.8402745723724365
195,GATD1,0.7769010066986084
196,PPM1N,0.42347389459609985
197,EPOP,0.9582874774932861
198,UBFD1,0.983532190322876
199,SBK1,0.8620712161064148
200,CEACAM4,0.9685425162315369
201,PEX26,0.664196252822876
202,TP53,0.490563303232193
203,GNB1,0.41619327664375305
204,HADHB,0.3504801392555237
205,GIT2,0.8751943111419678
206,OPA3,0.3317435085773468
207,TIMD4,0.9509711861610413
208,MCFD2,0.2687835097312927
209,HSPA13,0.588376522064209
210,PASD1,0.8324870467185974
211,KRT72,0.9454959034919739
212,ZDHHC12,0.9085317254066467
213,SH2D3C,0.8770140409469604
214,OR8D1,0.9995173215866089
215,NEFM,0.8226557970046997
216,STUM,0.7100473046302795
217,EVA1C,0.8805937170982361
218,TMEM209,0.7320671677589417
219,SYNGR4,0.9391682744026184
220,FSTL5,0.963731050491333
221,GLRX2,0.7723006010055542
222,CHN1,0.8416160941123962
223,VPS26B,0.7805266380310059
224,CHCHD1,0.1512124091386795
225,TTC34,0.8646724224090576
226,AMMECR1L,0.7685688138008118
227,JADE2,0.7145862579345703
228,DNAJB4,0.20391686260700226
229,SAP25,0.2381853461265564
230,COPS4,0.2868764400482178
231,LACC1,0.9330375790596008
232,KRT38,0.990027129650116
233,SPG21,0.7750129103660583
234,ZNF623,0.9980621933937073
235,GTF3C4,0.14708192646503448
236,AXDND1,0.9652370810508728
237,OR51Q1,0.9990007281303406
238,CPXCR1,0.9974852800369263
239,MEX3A,0.9733384251594543
240,FBF1,0.4197004437446594
241,MBNL3,0.939335286617279
242,SRARP,0.9427610635757446
243,HMOX2,0.5345650315284729
244,BICD1,0.494241327047348
245,ZNF785,0.7630013227462769
246,ARHGEF40,0.9204334616661072
247,SERHL2,0.9648261070251465
248,PRUNE1,0.8276378512382507
249,LEF1,0.7833787202835083
250,CHMP6,0.3483961820602417
251,COQ10A,0.10327690839767456
252,CDON,0.952290415763855
253,BIN1,0.6665537357330322
254,HDAC6,0.36940643191337585
255,TUBB4A,0.45894184708595276
256,MEGF9,0.9078438878059387
257,ANP32A,0.09191405028104782
258,SPATS2L,0.3040722906589508
259,GTF3C5,0.35814663767814636
260,SYK,0.9058234095573425
261,CEMIP2,0.9524758458137512
262,FAM114A2,0.8128260374069214
263,ASTN1,0.9985111355781555
264,PTRHD1,0.40073737502098083
265,MATN3,0.9817088842391968
266,DNAJB2,0.34189242124557495
267,CEBPE,0.9286096096038818
268,SPDL1,0.16235989332199097
269,TWIST1,0.4946240484714508
270,CFAP20,0.23763048648834229
271,BRD3,0.16081379354000092
272,FGF23,0.936538577079773
273,HMBOX1,0.842624306678772
274,CALU,0.05196751654148102
275,TMEM163,0.8521026372909546
276,STX2,0.9172853827476501
277,GJB4,0.9405187368392944
278,STMN1,0.32888537645339966
279,ARRDC2,0.9788634181022644
280,BCL6,0.8913409113883972
281,USP8,0.2780230939388275
282,KCNQ3,0.8812395930290222
283,UGGT2,0.8426694273948669
284,NEPRO,0.05251961201429367
285,SH3BP4,0.6412167549133301
286,FUT11,0.8581137657165527
287,RHBDD1,0.8968355655670166
288,VAMP3,0.7287848591804504
289,GABPB1,0.7481033205986023
290,S100A2,0.7761257886886597
291,RECK,0.9050908088684082
292,HS2ST1,0.9730945229530334
293,YIPF1,0.961678683757782
294,FAHD1,0.6752051711082458
295,KRTDAP,0.9827176928520203
296,LYRM2,0.797552764415741
297,P3H1,0.510326623916626
298,TRIM46,0.9510819315910339
299,UTP3,0.06426630914211273
300,RNF8,0.3508407473564148
301,SORCS1,0.9631786346435547
302,SLC25A31,0.4497693181037903
303,TAB1,0.35451337695121765
304,RBM5,0.08811543881893158
305,CSK,0.5783710479736328
306,SPACA9,0.8731458187103271
307,HLA-DMA,0.9764539003372192
308,UBA52,0.18665051460266113
309,HNF1B,0.874771237373352
310,ANXA10,0.9051174521446228
311,ZFP64,0.817007303237915
312,TMOD1,0.1942027360200882
313,RNF19A,0.4651792049407959
314,CIITA,0.6629231572151184
315,SLC4A11,0.8972585201263428
316,CHST11,0.958851158618927
317,TNFRSF21,0.8055962920188904
318,MLF2,0.17245294153690338
319,TMPRSS11D,0.865207850933075
320,RXFP2,0.9798254370689392
321,STN1,0.22780270874500275
322,SMG7,0.7316499948501587
323,SHH,0.9230509996414185
324,SESN2,0.9687920808792114
325,PIM1,0.38283616304397583
326,RSF1,0.15004992485046387
327,FAM9B,0.5723356008529663
328,GRID2IP,0.5824812054634094
329,KCNN1,0.9425549507141113
330,DCAF4L2,0.06989385932683945
331,CAMK2A,0.8782168626785278
332,SOD3,0.18856145441532135
333,DDR2,0.9383752346038818
334,CEACAM19,0.764721691608429
335,TRIM37,0.7226989269256592
336,TRIM43,0.6686102747917175
337,SAMD7,0.9485952258110046
338,LIMS2,0.9003085494041443
339,CFAP97D1,0.9972943663597107
340,FNIP1,0.8988403081893921
341,PPM1M,0.8509241938591003
342,DDX52,0.06650567799806595
343,CAND1,0.09396185725927353
344,DNAJC18,0.7466536164283752
345,NOL10,0.02437562681734562
346,CORO7,0.14480291306972504
347,QKI,0.2856150269508362
348,PRB4,0.7863829731941223
349,PLPP6,0.9403771162033081
350,ZC3HC1,0.6027116179466248
351,SCUBE3,0.9362455010414124
352,GNPDA1,0.2540890872478485
353,ATP6V1E2,0.07285581529140472
354,SLC22A5,0.9260329008102417
355,EDARADD,0.8002735376358032
356,GABRA3,0.9739056825637817
357,TIMELESS,0.09671412408351898
358,TP53BP2,0.31187668442726135
359,HRK,0.029419977217912674
360,KLHL22,0.11142247915267944
361,PIKFYVE,0.517032265663147
362,RNF24,0.7454307675361633
363,MAP1S,0.8509963750839233
364,SOD2,0.7674242854118347
365,ST6GALNAC6,0.9423158764839172
366,TBCE,0.3799094259738922
367,EIF4G2,0.07635332643985748
368,NRIP1,0.4096337556838989
369,SPNS2,0.9711288213729858
370,RASA1,0.8315020203590393
371,CRYBA1,0.995067834854126
372,RXFP3,0.9856067895889282
373,NAB2,0.8631154894828796
374,LALBA,0.9953669309616089
375,MDH2,0.13819840550422668
