,gene,prediction
250,CHMP6,0.5847318172454834
251,COQ10A,0.24578803777694702
252,CDON,0.4550323188304901
253,BIN1,0.5920732021331787
254,HDAC6,0.23179222643375397
255,TUBB4A,0.4144129455089569
256,MEGF9,0.8566619157791138
257,ANP32A,0.2432461529970169
258,SPATS2L,0.547009289264679
259,GTF3C5,0.2763913571834564
260,SYK,0.3899395763874054
261,CEMIP2,0.8399361968040466
262,FAM114A2,0.7953279614448547
263,ASTN1,0.8962056636810303
264,PTRHD1,0.7254579663276672
265,MATN3,0.7876930236816406
266,DNAJB2,0.4961864650249481
267,CEBPE,0.7677499651908875
268,SPDL1,0.14768946170806885
269,TWIST1,0.24744193255901337
270,CFAP20,0.27333205938339233
271,BRD3,0.23441274464130402
272,FGF23,0.6822407245635986
273,HMBOX1,0.40466389060020447
274,CALU,0.54268479347229
275,TMEM163,0.7557963728904724
276,STX2,0.7504479885101318
277,GJB4,0.800907552242279
278,STMN1,0.42772191762924194
279,ARRDC2,0.9007992148399353
280,BCL6,0.43028733134269714
281,USP8,0.295322984457016
282,KCNQ3,0.712178647518158
283,UGGT2,0.8041835427284241
284,NEPRO,0.10907807946205139
285,SH3BP4,0.31990280747413635
286,FUT11,0.7874211668968201
287,RHBDD1,0.5955050587654114
288,VAMP3,0.5201506018638611
289,GABPB1,0.3791540563106537
290,S100A2,0.48427894711494446
291,RECK,0.8004432916641235
292,HS2ST1,0.8140539526939392
293,YIPF1,0.8386022448539734
294,FAHD1,0.7679317593574524
295,KRTDAP,0.8688364624977112
296,LYRM2,0.6250185966491699
297,P3H1,0.6905837059020996
298,TRIM46,0.6283629536628723
299,UTP3,0.2553221881389618
300,RNF8,0.3776276707649231
301,SORCS1,0.8139661550521851
302,SLC25A31,0.3378944396972656
303,TAB1,0.17570683360099792
304,RBM5,0.21978192031383514
305,CSK,0.23720277845859528
306,SPACA9,0.8182175755500793
307,HLA-DMA,0.8802775144577026
308,UBA52,0.14851662516593933
309,HNF1B,0.6504358053207397
310,ANXA10,0.8307912945747375
311,ZFP64,0.6648750901222229
312,TMOD1,0.5868954658508301
313,RNF19A,0.349120557308197
314,CIITA,0.3104882538318634
315,SLC4A11,0.711812436580658
316,CHST11,0.8608640432357788
317,TNFRSF21,0.8410651683807373
318,MLF2,0.29283657670021057
319,TMPRSS11D,0.8972275853157043
320,RXFP2,0.8052132725715637
321,STN1,0.6899402141571045
322,SMG7,0.31341466307640076
323,SHH,0.44152548909187317
324,SESN2,0.8855541944503784
325,PIM1,0.23650267720222473
326,RSF1,0.17381760478019714
327,FAM9B,0.42201387882232666
328,GRID2IP,0.8922099471092224
329,KCNN1,0.763180673122406
330,DCAF4L2,0.250840425491333
331,CAMK2A,0.3330640196800232
332,SOD3,0.8511427640914917
333,DDR2,0.22476698458194733
334,CEACAM19,0.8615882992744446
335,TRIM37,0.5360011458396912
336,TRIM43,0.6882379651069641
337,SAMD7,0.7284572720527649
338,LIMS2,0.2705574631690979
339,CFAP97D1,0.8865084052085876
340,FNIP1,0.6039100289344788
341,PPM1M,0.821583092212677
342,DDX52,0.19431041181087494
343,CAND1,0.13494616746902466
344,DNAJC18,0.868417501449585
345,NOL10,0.11394679546356201
346,CORO7,0.37756964564323425
347,QKI,0.3217817544937134
348,PRB4,0.8000520467758179
349,PLPP6,0.8483352065086365
350,ZC3HC1,0.12812140583992004
351,SCUBE3,0.6845746636390686
352,GNPDA1,0.7013736963272095
353,ATP6V1E2,0.193191260099411
354,SLC22A5,0.9938701391220093
355,EDARADD,0.7244875431060791
356,GABRA3,0.8416702747344971
357,TIMELESS,0.5871762037277222
358,TP53BP2,0.2191065400838852
359,HRK,0.9010691046714783
360,KLHL22,0.513462483882904
361,PIKFYVE,0.5737836360931396
362,RNF24,0.8374830484390259
363,MAP1S,0.3483888506889343
364,SOD2,0.5218435525894165
365,ST6GALNAC6,0.8456829190254211
366,TBCE,0.271383672952652
367,EIF4G2,0.1623532921075821
368,NRIP1,0.29934820532798767
369,SPNS2,0.8520255088806152
370,RASA1,0.357481449842453
371,CRYBA1,0.8785939812660217
372,RXFP3,0.8108468651771545
373,NAB2,0.433126300573349
374,LALBA,0.8583447933197021
375,MDH2,0.3414563238620758
376,CTHRC1,0.5208209156990051
377,GNRH1,0.7418307065963745
378,PDS5A,0.23694898188114166
379,RNASE9,0.877606213092804
380,PRR14L,0.6828148365020752
381,DCTN6,0.7151498794555664
382,ANKAR,0.7907733917236328
383,CCNE1,0.29893025755882263
384,ADTRP,0.8143988847732544
385,DMRTC2,0.6997260451316833
386,C1QTNF6,0.8287363052368164
387,KIR3DL3,0.8485258221626282
388,MTMR11,0.881012499332428
389,ZNF189,0.7862903475761414
390,SCN4A,0.8080143928527832
391,LASP1,0.38751253485679626
392,VRK3,0.11135661602020264
393,TIPRL,0.515689492225647
394,CCT5,0.2113763689994812
395,TNMD,0.7914757132530212
396,FASLG,0.48788800835609436
397,LIN28B,0.12376459687948227
398,SRCIN1,0.3235741853713989
399,MRPS11,0.20270760357379913
400,C12orf4,0.5036481022834778
401,KIF3B,0.5565494894981384
402,RFFL,0.5998754501342773
403,HMGCS1,0.6495844125747681
404,INPP5F,0.7435547709465027
405,PLA2G12A,0.7863083481788635
406,RAD9B,0.6920053362846375
407,TMEM119,0.8555224537849426
408,PCDH7,0.7862777709960938
409,EMC7,0.7365828156471252
410,ZBTB9,0.7882410883903503
411,SF3B2,0.0987645834684372
412,BPIFB3,0.8282108306884766
413,TDP2,0.7155140042304993
414,RABGAP1L,0.6698839068412781
415,TAS2R1,0.878710150718689
416,CLEC2B,0.8540433645248413
417,CALB1,0.5402964353561401
418,TGFBR2,0.4389062821865082
419,EAPP,0.48527100682258606
420,REG1B,0.8721281886100769
421,TMEM14C,0.8100791573524475
