,gene,prediction
76,HIRIP3,0.10087227076292038
77,PLAAT3,0.9411269426345825
78,SETDB2,0.9976963400840759
79,PLEKHO1,0.9062381386756897
80,MCL1,0.7086122035980225
81,OR4F6,0.991387665271759
82,RNF19B,0.5232160091400146
83,DCAF4,0.9492557048797607
84,TP53BP1,0.1246563121676445
85,XRN2,0.1192447692155838
86,PXMP4,0.9985066056251526
87,ZNF468,0.9400563836097717
88,DEFB121,0.9632195830345154
89,CCNB3,0.16793803870677948
90,SNCAIP,0.5727924704551697
91,HAO1,0.8914598822593689
92,GAS2L3,0.15774253010749817
93,TGFBR3,0.9837419986724854
94,LTK,0.9412195682525635
95,PRMT1,0.16912789642810822
96,NOSIP,0.2532605826854706
97,NKAIN4,0.9919809103012085
98,CHFR,0.8869879841804504
99,CACNA2D3,0.9924852252006531
100,CCL17,0.9919554591178894
101,ABCG1,0.9384158253669739
102,OR1D2,0.9981663823127747
103,ATP6V1D,0.2302882820367813
104,ATRN,0.9996693134307861
105,BEND2,0.8611713647842407
106,UNC5CL,0.5395083427429199
107,NRN1,0.9913309812545776
108,FIGLA,0.7141112685203552
109,ELF4,0.7210496664047241
110,MRPS18B,0.3593786656856537
111,CDC42EP1,0.8509606122970581
112,SYT4,0.9789683818817139
113,TMEM268,0.9789510369300842
114,HSPA2,0.1518474519252777
115,FANCC,0.7099704742431641
116,ITFG1,0.06203368678689003
117,HIF1AN,0.8314658999443054
118,SEC23A,0.12311989814043045
119,C16orf96,0.742839515209198
120,C1orf198,0.3610900938510895
121,SMYD4,0.8823249936103821
122,SMIM2,0.9969280362129211
123,KIF22,0.1096186414361
124,MTIF2,0.3108028173446655
125,ARID5B,0.6746827960014343
126,CSNK2A1,0.28049543499946594
127,DPY19L1,0.9810953140258789
128,TBX21,0.9409414529800415
129,OR5F1,0.9868495464324951
130,OLIG3,0.8981021046638489
131,KLHL29,0.7855691909790039
132,GOSR1,0.5414165258407593
133,MEIG1,0.9984922409057617
134,ARC,0.9091084003448486
135,H1-0,0.07034997642040253
136,TRNT1,0.5016567707061768
137,CHAC2,0.8763255476951599
138,PURG,0.48676374554634094
139,CHI3L2,0.9807228446006775
140,MYOF,0.8724987506866455
141,KIF1C,0.9765150547027588
142,SPEG,0.9663731455802917
143,C8G,0.9204940795898438
144,QRICH2,0.6240626573562622
145,PRR15L,0.9999748468399048
146,ANKMY1,0.9999188184738159
147,LMNB1,0.646277904510498
148,ZFP36,0.4124909043312073
149,PNMA2,0.855755090713501
150,BHLHA15,0.04155108332633972
151,PRKAA1,0.28460389375686646
152,MKRN1,0.1489032357931137
153,TGFB3,0.9766960740089417
154,APOA1,0.9894471168518066
155,MAN2B1,0.9651058912277222
156,XKR3,0.9880411624908447
157,HEPACAM2,0.7142033576965332
158,ADAP1,0.8943461179733276
159,CCR9,0.9958711266517639
160,KRT18,0.3523772358894348
161,SS18L2,0.9342331290245056
162,NXNL2,0.6020998358726501
163,KRT74,0.9021818041801453
