gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
LRG1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRGUK;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIF1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIG1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIG2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIG3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIT2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRIT3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRMDA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP1B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP2BP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRP8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRPAP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRPPRC;NE;NE;NE;E;NE;E;NE;E;NE;NE;NE;NE;E;NE
LRR1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LRRC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC10B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC14;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC14B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC15;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC17;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC19;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC20;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC23;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC24;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC25;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC26;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC27;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC28;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC30;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC31;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC32;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC34;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC36;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC37A2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC37A3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC37B;NE;NE;NE;NE;E;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC38;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC39;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC3B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC3C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC40;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC41;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC42;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC43;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC45;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC46;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC47;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC49;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC4B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC4C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC51;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC52;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC55;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC56;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC57;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC58;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC59;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC61;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC63;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC66;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC70;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC71;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC72;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC73;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC74A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC75A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC75B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC8A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC8B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC8C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC8D;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRC8E;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRCC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRFIP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRFIP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRIQ1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRIQ3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRIQ4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRK1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRK2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRN1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRN2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRN3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRN4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRN4CL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRTM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRTM2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRTM3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRRTM4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRSAM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRTM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRTM2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LRWD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSAMP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSG1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSM10;E;NE;E;E;E;E;E;E;E;NE;E;NE;E;NE
LSM11;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSM14A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSM14B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSM2;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM3;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM4;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM5;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM6;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM7;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSM8;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LSMEM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSMEM2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LSS;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LST1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;E;NE
LTA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTA4H;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTB4R;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;E;NE;NE;NE
LTB4R2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTBP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTBP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTBP3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTBR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTC4S;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTF;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTK;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTN1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LTO1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LTV1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LUC7L;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LUC7L2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LUC7L3;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LUM;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LURAP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LURAP1L;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LUZP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LUZP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LUZP4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LVRN;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LXN;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6D;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6E;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6G5B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6G5C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6G6C;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6H;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY6K;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY75;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY86;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LY96;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYAR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYG1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYG2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYN;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYNX1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPD6B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPLA1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPLA2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYPLAL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYRM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYRM2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYRM4;E;E;E;E;E;E;E;E;E;E;E;E;E;E
LYRM7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYRM9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYSET;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYSMD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYSMD2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYSMD3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYSMD4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYST;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYVE1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYZ;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYZL4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LYZL6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LZIC;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LZTFL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LZTR1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LZTS1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LZTS2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
LZTS3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
M1AP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
M6PR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAB21L1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAB21L2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAB21L3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAB21L4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACF1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACIR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACO1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACROD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACROD2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACROH2A1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MACROH2A2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAD1L1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAD2L1;E;E;E;E;E;E;E;E;E;E;E;E;E;E
MAD2L1BP;E;E;E;E;E;E;E;E;E;E;E;E;E;NE
MAD2L2;E;NE;E;E;E;E;E;E;E;E;E;E;E;E
MADCAM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MADD;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAEA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAEL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAF;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAF1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAFA;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAFB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAFF;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAFG;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAFK;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAG;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA11;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA12;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEA8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB16;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB17;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB18;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEB6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEC2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEC3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGED1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGED2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEE1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEE2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEF1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGEH1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGI1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGI2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGI3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGIX;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGOH;E;E;E;E;E;E;E;E;E;E;E;E;E;E
MAGOHB;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAGT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAIP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAJIN;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAK;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAK16;E;E;E;E;E;E;E;E;E;E;E;E;E;E
MAL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MALL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MALSU1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MALT1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAMDC2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAMDC4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAML1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAML2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAML3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAMLD1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAMSTR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN1A1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN1A2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN1B1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN1C1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN2A1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN2A2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN2B1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN2B2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
MAN2C1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
