gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
ACOT9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOX1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOX2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOX3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACOXL;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACP7;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACR;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACRBP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACRV1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSBG1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSBG2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSF2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSF3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSL1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSL3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSL4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSL5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSL6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM2A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM2B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM5;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSM6;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSS1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACSS2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
