,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_learning_rate,params_n_estimators,params_n_voters,state
28,28,0.8754425177622238,2024-06-05 11:34:15.858102,2024-06-05 11:35:41.067117,0 days 00:01:25.209015,gbdt,0.021233790867677745,180,7,COMPLETE
29,29,0.8862585838777985,2024-06-05 11:35:41.090319,2024-06-05 11:37:07.825876,0 days 00:01:26.735557,gbdt,0.042901962397769354,180,9,COMPLETE
30,30,0.889145944114146,2024-06-05 11:37:07.850616,2024-06-05 11:38:39.277972,0 days 00:01:31.427356,gbdt,0.054934181997319156,160,12,COMPLETE
31,31,0.8899361485989152,2024-06-05 11:38:39.300887,2024-06-05 11:40:07.620982,0 days 00:01:28.320095,gbdt,0.05909477632737212,160,11,COMPLETE
32,32,0.885556881494642,2024-06-05 11:40:07.648602,2024-06-05 11:41:24.216740,0 days 00:01:16.568138,gbdt,0.0521584302378047,140,11,COMPLETE
33,33,0.8902411104580411,2024-06-05 11:41:24.249171,2024-06-05 11:43:10.811969,0 days 00:01:46.562798,gbdt,0.09801992281357673,180,13,COMPLETE
34,34,0.8897393543280228,2024-06-05 11:43:10.839798,2024-06-05 11:45:06.900256,0 days 00:01:56.060458,gbdt,0.08575616985771639,200,13,COMPLETE
35,35,0.8805087524554345,2024-06-05 11:45:06.928916,2024-06-05 11:46:56.458933,0 days 00:01:49.530017,dart,0.09916523297283207,200,13,COMPLETE
36,36,0.889027736911754,2024-06-05 11:46:56.479716,2024-06-05 11:48:54.613399,0 days 00:01:58.133683,gbdt,0.07679634898042358,200,14,COMPLETE
37,37,0.8931510124358141,2024-06-05 11:48:54.638670,2024-06-05 11:50:51.129284,0 days 00:01:56.490614,gbdt,0.09450542147452665,200,13,COMPLETE
38,38,0.8769386954978392,2024-06-05 11:50:51.154555,2024-06-05 11:52:23.789150,0 days 00:01:32.634595,dart,0.08133068310629699,180,11,COMPLETE
39,39,0.8879976963509992,2024-06-05 11:52:23.815915,2024-06-05 11:53:50.393635,0 days 00:01:26.577720,gbdt,0.09896015185606775,140,14,COMPLETE
40,40,0.8884191596761035,2024-06-05 11:53:50.416004,2024-06-05 11:55:19.609359,0 days 00:01:29.193355,gbdt,0.04412722937769894,180,10,COMPLETE
41,41,0.8906019062060644,2024-06-05 11:55:19.637376,2024-06-05 11:57:14.427060,0 days 00:01:54.789684,gbdt,0.07859122494541787,200,13,COMPLETE
42,42,0.8887588526449305,2024-06-05 11:57:14.453339,2024-06-05 11:59:18.504381,0 days 00:02:04.051042,gbdt,0.07663405866939553,200,16,COMPLETE
43,43,0.8908261765435632,2024-06-05 11:59:18.529245,2024-06-05 12:01:09.439684,0 days 00:01:50.910439,gbdt,0.07516823140168431,200,12,COMPLETE
44,44,0.8909543863542065,2024-06-05 12:01:09.467990,2024-06-05 12:03:01.279431,0 days 00:01:51.811441,gbdt,0.0764519125034711,200,12,COMPLETE
45,45,0.8829173988763737,2024-06-05 12:03:01.301653,2024-06-05 12:03:57.041232,0 days 00:00:55.739579,gbdt,0.07119598794404117,80,15,COMPLETE
46,46,0.8802592579477906,2024-06-05 12:03:57.072919,2024-06-05 12:05:43.944116,0 days 00:01:46.871197,dart,0.08027521990664563,200,12,COMPLETE
47,47,0.8865660880657458,2024-06-05 12:05:43.967330,2024-06-05 12:07:40.729782,0 days 00:01:56.762452,gbdt,0.049777292500133,200,14,COMPLETE
48,48,0.8691264740262004,2024-06-05 12:07:40.757239,2024-06-05 12:08:21.032810,0 days 00:00:40.275571,gbdt,0.031878592290314034,60,12,COMPLETE
49,49,0.8878257812777717,2024-06-05 12:08:21.056280,2024-06-05 12:10:25.153124,0 days 00:02:04.096844,gbdt,0.05767388269461093,200,16,COMPLETE
