gene,label,prediction,probabilities
APCDD1L,1,1,0.0004593573669615436
APIP,1,1,0.1165298442365188
APLF,1,1,0.096572423221338
APLN,1,1,0.0003235752396061775
APOA2,1,1,0.04978535058213206
APOA4,1,1,0.002096595824502001
APOBEC2,1,1,0.004770240824894856
APOBEC3C,1,1,0.3912277708438256
APOBEC3F,1,1,0.17533229400501876
APOD,1,1,0.02262085350688452
APOH,1,1,0.0007514260310700349
APOL3,1,1,0.000278218184070278
APPBP2,1,1,0.2921968614630138
AREG,1,1,0.003560395722502363
ARF5,1,1,0.1517493989547139
ARGLU1,1,0,0.7597098968517539
ARHGAP10,1,1,0.00809117253446493
ARHGAP11A,1,1,0.04741863670103066
ARHGAP15,1,1,0.0009475826687546874
ARHGAP25,1,1,0.008134558531383696
ARHGAP28,1,1,0.001225763202531882
ARHGAP44,1,1,0.0005265236079338709
ARHGDIA,1,0,0.5667129445694143
ARHGEF10L,1,1,0.03011825094727366
ARHGEF12,1,1,0.006895794471693484
ARID1A,1,1,0.3527209819780865
ARID2,1,1,0.42869442797020135
ARID4B,1,1,0.28218796210862723
ARIH2,1,0,0.685955440285055
ARL15,1,1,0.0018896426242986375
ARL5B,1,1,0.009780661942184642
ARMC12,1,1,0.0036402850216124215
ARMC3,1,1,0.00043728651034187217
ARMCX3,1,1,0.016678047880067305
ARMH3,1,1,0.08511834367996501
ARMT1,1,0,0.5750965519735411
ARSF,1,1,0.0007001210238714139
ARSI,1,1,0.0018177466009701715
ARVCF,1,1,0.011657455968576137
ASAP3,1,1,0.0008018239341533006
ASB17,1,1,0.002886303359593878
ASB18,1,1,0.0026878066822963566
ASB7,1,1,0.18147302813345567
ASCC2,1,0,0.8316354833647784
ASF1A,1,0,0.6087306910081814
ASIC1,1,1,0.0016796898298432118
ASIC2,1,1,0.00019672361499554203
ASIP,1,1,0.0005262300864183889
ASPM,1,0,0.6830401242655281
ASTN1,1,1,0.0003508681506356859
ASXL3,1,1,0.01921039580158699
ATAD2B,1,1,0.06437083162659019
ATF1,1,1,0.06181419565527387
ATF4,1,0,0.7921709420981002
ATG12,1,0,0.7117362333903934
ATG13,1,1,0.22444071679513558
ATG14,1,0,0.5475358052316508
ATG2B,1,1,0.01108532720980454
ATG3,1,0,0.6208015561581639
ATG5,1,1,0.40864787260834856
ATG9A,1,1,0.23897510551568918
ATIC,1,0,0.8368210792635725
ATOX1,1,1,0.021100210599260916
ATP13A3,1,1,0.032878952370616596
ATP2B1,1,1,0.06781246747734922
ATP2B4,1,1,0.09654014896536632
ATP2C1,1,1,0.08948601161405415
ATP4A,1,1,0.25330900863796435
ATP4B,1,1,0.0007622607795397696
ATP5F1A,1,0,0.9479131089082002
ATP5F1E,0,0,0.68283484370261
ATP5IF1,1,1,0.4978909874799508
ATP5MC2,1,1,0.04400224029514012
ATP5PD,1,0,0.9493346572760727
ATP5PF,1,0,0.9235140477236335
ATP6V0C,0,0,0.9008543244012758
ATP6V1A,0,0,0.9871967307328772
ATP6V1B1,1,0,0.64589576983419
ATP6V1D,0,0,0.9667325448742954
ATP6V1G2,1,1,0.01776018424339746
ATP6V1H,0,0,0.87975235778958
ATP7A,1,1,0.06354382440601684
ATP7B,1,1,0.0009436877682475475
ATPSCKMT,1,1,0.015153119993455644
ATRN,1,1,0.005339919552410655
ATRX,1,0,0.8759119698514063
ATXN3,1,0,0.533689616669358
ATXN3L,1,1,0.0023254142895308026
AUNIP,1,1,0.01186991780580925
AUP1,1,1,0.30705103746355367
AURKA,0,0,0.9455171817806477
AVEN,1,1,0.05263539733084388
AVP,1,1,0.0024384711252960376
AVPR1A,1,1,0.00041151145803777214
AVPR1B,1,1,0.0015602393855555841
B3GALT2,1,1,0.0004692303332930026
B3GALT4,1,1,0.05481085871826519
B3GALT5,1,1,0.00032322406206011236
B3GAT3,1,1,0.02693641605238938
B3GNT3,1,1,0.00312946655405365
B3GNT5,1,1,0.0028121466868013976
B4GALNT2,1,1,0.0006959651743264738
BAALC,1,1,0.0040506329318781955
BACE2,1,1,0.012648615565944609
BAD,1,1,0.030353714315672777
BAG1,1,0,0.5819509423449882
BAMBI,1,1,0.002610900132314986
BANP,0,1,0.23881336225561328
BARHL2,1,1,0.0013371524949074565
BARX2,1,1,0.008393460767962468
BASP1,1,1,0.13640059943846272
BATF2,1,1,0.013950118699714964
BCAP29,1,1,0.0025568406986481995
BCAS3,1,1,0.1969404958235989
BCDIN3D,1,1,0.07939254431246712
BCL11B,1,1,0.036098722653510384
BCL2L14,1,1,0.019327630243321348
BCS1L,1,0,0.5480610344428192
BDH2,1,1,0.0028013302606344935
BDKRB2,1,1,0.0003794780651703245
BEAN1,1,1,0.00019303390577367628
BEGAIN,1,1,0.0155687738583847
BEND2,1,1,0.0007876829461858747
BEND7,1,1,0.00930044677927112
BEX2,1,1,0.011272670620003167
BEX5,1,1,0.000593201541621391
BFSP2,1,1,0.11669411584378495
BHLHA15,1,1,0.05518308128509889
BHLHE22,1,1,0.00031685207772969015
BICDL1,1,1,0.007734706053550688
BIRC7,1,1,0.006535597086599542
BLCAP,1,1,0.05904239404041538
BLMH,1,1,0.34464992666840655
BLNK,1,1,0.016765369141730324
BLOC1S4,1,1,0.016233073481686133
BMI1,1,1,0.3938332282974531
BMP1,1,1,0.002835209587546639
BMP2,1,1,0.002345649065456623
BMP3,1,1,0.0005086022811187863
BMP8A,1,1,0.00020128917813451165
BMPR1B,1,1,0.009391872355054598
BNIP5,1,1,0.031070270140646804
BOLA3,1,1,0.38753272684359535
BOLL,1,1,0.003570844305277987
BOP1,0,0,0.9993412605774928
BPHL,1,1,0.023663468166992198
BRCA1,1,0,0.9873952300952066
BRD4,0,0,0.7841254799902844
BRD8,1,0,0.9296402542043598
BRF1,0,0,0.9653330708896448
BRMS1,1,1,0.04164039898634595
BRS3,1,1,0.0019709503411683205
BRSK1,1,1,0.0022939116613345024
BRSK2,1,1,0.0006472044271564337
BSG,1,1,0.3915581244312214
BSND,1,1,0.04941430116097487
BST2,1,1,0.06111798272080625
BTBD16,1,1,0.00023558729966223214
BTNL9,1,1,0.002896865962479045
C10orf82,1,1,0.0008443856598801646
C12orf4,1,1,0.008252835120446078
C12orf57,1,1,0.24451140333918514
C15orf61,1,1,0.001353421155679424
C16orf78,1,1,0.0007221091423431858
C17orf75,1,1,0.09708736937005688
C19orf25,1,0,0.5135082944037144
C19orf44,1,1,0.029362093892294817
C1QA,1,1,0.0068531008682067625
C1QB,1,1,0.031151027328791426
C1QTNF2,1,1,0.007609368347377676
C1QTNF5,1,1,0.007829074006147341
C1QTNF7,1,1,0.0036443927012704937
C1QTNF8,1,1,0.0002694795028585162
C1orf52,1,1,0.08939908202073074
C1orf53,1,1,0.0003001401248130198
C1orf87,1,1,0.0002231077209003729
C20orf85,1,1,0.0005663129521221499
C22orf15,1,1,0.0007205767104198291
C2CD2L,1,1,0.01367434217487895
C2CD4C,1,1,0.00047970260590618485
C2orf42,1,1,0.01063554742467634
C2orf68,1,1,0.009094128817265467
C3orf18,1,1,0.00249524356108457
C3orf20,1,1,0.0001327121342982185
C4orf17,1,1,0.0006362892604074522
C4orf48,1,1,0.0014963974133253676
C5orf22,1,1,0.02225220741683921
C5orf24,1,1,0.02020125073554948
C5orf34,1,1,0.014056274832119242
C6orf118,1,1,0.0002018542571271209
C6orf47,1,1,0.0005551967796304291
C7orf25,1,1,0.02562777653495816
C8orf34,1,1,0.0009903698296375384
C8orf58,1,1,0.0003149665518317968
C8orf82,1,1,0.017972211637889524
C9orf50,1,1,0.0004639096324051906
C9orf57,1,1,0.00014549842175317628
CA2,1,1,0.007466733161768602
CA6,1,1,0.004931046942590533
CAB39L,1,1,0.0007613402131827707
CABP7,1,1,0.0003928852900518254
CABS1,1,1,0.0005802228716051627
CABYR,1,1,0.0006561853272565421
CACHD1,1,1,0.002471204973277208
CACNA1B,1,1,0.0017156163508377342
CACNA1F,1,1,0.0005453019575455853
CACNA1G,1,1,0.0006946148410125307
CACNB1,1,1,0.007472350597137056
CACNG1,1,1,0.0018714480283134383
CACNG2,1,1,0.0013096942509752464
CACNG8,1,1,0.002104665163393671
CACTIN,0,0,0.9905836144013085
CADPS2,1,1,0.0006165831427787816
CAGE1,1,1,0.000675368492275974
CALCOCO2,1,1,0.1731124988409944
CALD1,1,1,0.003794176547192052
CALR,1,0,0.8821787021485756
CAMK1D,1,1,0.010319219119128708
CAMK2N1,1,1,0.00012543858268044828
CAMLG,1,0,0.678340151041053
CAMTA2,1,1,0.0017374724865631187
CAND1,1,0,0.9153902835226455
CANX,1,0,0.9074036098779708
CAP1,1,1,0.40186343247216827
CAPN3,1,1,0.034714800964883316
CAPN5,1,1,0.0017200308159329492
CAPN9,1,1,0.00022670422993997796
CAPS,1,1,0.00026421636584471607
CAPSL,1,1,0.0006054871232238024
CARD6,1,1,0.0003062026306979715
CARMIL2,1,1,0.0191499486187534
CASP14,1,1,0.007764273874069516
CASP3,1,0,0.7128751624170924
CASQ2,1,1,0.005895224841778468
CAST,1,1,0.05775186221312025
CAVIN2,1,1,0.004555026607370982
CBFA2T3,1,1,0.012383891496126464
CBS,1,0,0.6722204342127929
CBX6,1,1,0.4367426904678739
CBX7,1,1,0.0647124579852891
CBY2,1,1,0.20414727554128045
CCAR1,0,0,0.7516068134752808
CCBE1,1,1,0.0004447902404790871
CCDC105,1,1,0.0006434893781616768
CCDC150,1,1,0.001383393000906208
CCDC153,1,1,0.0006306126831333803
CCDC167,1,1,0.030175507506405817
CCDC172,1,1,0.002101940307998229
CCDC174,0,1,0.18855787407727415
CCDC175,1,1,0.0008743827758200484
CCDC180,1,1,0.0032167635100588178
CCDC198,1,1,0.011455760707207385
CCDC38,1,1,0.0005203334957783578
CCDC43,1,1,0.020081424827618953
CCDC50,1,1,0.011940866324079202
CCDC54,1,1,0.00034096522206026323
CCDC63,1,1,0.00026736954469065434
CCDC68,1,1,0.00515618465342379
CCDC74A,1,1,0.006460396504234178
CCDC8,1,1,0.056611847580771035
CCDC86,0,0,0.667320279709511
CCDC89,1,1,0.0006834564529479171
CCDC9,1,1,0.1941701184715079
CCDC92,1,1,0.03832564352290796
CCDC93,1,1,0.07261742189035206
CCDC97,1,1,0.20061303716775333
CCIN,1,1,0.0008655743619253697
CCL15,1,1,0.00029364054087379634
CCL21,1,1,0.001573966704927654
CCL5,1,1,0.05587606582753021
CCM2L,1,1,0.0003801350787196012
CCN1,1,1,0.01698882926555889
CCN6,1,1,0.09400285627726526
CCNB3,1,1,0.2950057036814061
CCND2,1,1,0.2351599436639928
CCNE1,1,0,0.5899768978950207
CCNK,0,0,0.9777815680534824
CCNY,1,1,0.019838704870372915
CCR1,1,1,0.009130734063497648
CCR7,1,1,0.0027297215480182823
CCT4,0,0,0.9980798105171216
CD109,1,1,0.004885238169038353
CD164,1,1,0.021401588568496898
CD177,1,1,0.0009529351188982571
CD200R1L,1,1,0.00013065528284974536
CD27,1,1,0.011104796676099404
CD276,1,1,0.004079622967667751
CD300A,1,1,0.0006929926553021937
CD300LD,1,1,0.0002743080603027304
CD300LF,1,1,0.0002058764649855438
CD300LG,1,1,0.0002327594385051035
CD34,1,1,0.009975692613758446
CD37,1,1,0.0002765529143061607
CD3G,1,1,0.0012500197165283612
CD40LG,1,1,0.001554391112354292
CD46,1,1,0.0041584681163177265
CD53,1,1,0.000784077976479236
CD63,1,1,0.32651875352314985
CD68,1,1,0.016987555357777507
CD69,1,1,0.018879968692813286
CD8A,1,1,0.08053194665632193
CD9,1,1,0.08132927623838307
CD93,1,1,0.001168577618118527
CD99L2,1,1,0.0005189677817643235
CDA,1,1,0.18442303436917654
CDC14A,1,0,0.7653461982516404
CDC20B,1,1,0.005622529803127252
CDC42BPG,1,1,0.000883080940668013
CDC42EP2,1,1,0.0017841569929381684
CDC42EP4,1,1,0.058469753984743286
CDC5L,0,0,0.9984771463829129
CDH1,1,1,0.4667233782756994
CDH10,1,1,0.0004997532350154877
CDH12,1,1,0.0004864060208023879
CDH17,1,1,0.008682446754557182
CDH20,1,1,0.00025646264657914753
CDH23,1,1,0.0013391003747517006
CDH24,1,1,0.00045524085812376214
CDH4,1,1,0.0006297296862781577
CDH6,1,1,0.0010358717307275666
CDH7,1,1,0.0005441572416981843
CDIN1,1,1,0.1363132233493231
CDK12,1,0,0.903879048029167
CDK15,1,1,0.0161635121941908
CDK19,1,0,0.8854183386601822
CDK4,1,0,0.9400354271543486
CDK8,1,0,0.8758608456285508
CDKL4,1,1,0.002551264938943676
CDKL5,1,1,0.002096284117769365
CDKN1C,1,1,0.0037665759018056686
CDKN2AIP,1,0,0.621383375511315
CDKN2AIPNL,1,1,0.024789344600125985
CDON,1,1,0.0006092495509658069
CDPF1,1,1,0.007656873562751254
CDS2,1,1,0.002388770831903697
CDYL2,1,1,0.010554594289343988
CEACAM1,1,1,0.0024181207398509597
CEACAM19,1,1,0.00020688136930661072
CEACAM21,1,1,0.0013606898096901077
CEACAM5,1,1,0.002759929838331543
CEACAM6,1,1,0.0005163223720227484
CEACAM7,1,1,0.0004364018977116024
CEACAM8,1,1,0.004338988909715758
CELA2A,1,1,0.0008841394384251355
CELA3B,1,1,0.0003686132737628856
CELF1,1,0,0.5259397034481441
CELF2,1,1,0.021116906804320202
CELF5,1,1,0.010871312967042046
CENPE,0,0,0.9317423002507075
CENPK,0,0,0.9214221719128087
CENPT,1,0,0.9474538589623769
CENPV,1,0,0.5053380592200363
CENPX,1,1,0.3509573742178294
CEP128,1,1,0.09161292945883655
CEP44,1,1,0.07982348581712982
CEP85,1,1,0.31455254663670684
CERS3,1,1,0.002695446624984654
CERT1,1,1,0.0186376239607975
CETN1,1,0,0.6890919105447978
CETN2,1,0,0.9288379331247079
CFAP100,1,1,0.006514738096011385
CFAP43,1,1,0.0010521112015732359
CFAP69,1,1,0.00013024189251011897
CFAP97,1,1,0.098077960991348
CFB,1,1,0.0222620473707822
CFC1,1,1,0.0018704678378352545
CFHR1,1,1,0.0007692799753476586
CFHR4,1,1,0.00028085364419635497
CFLAR,1,1,0.10887440487906422
CGRRF1,1,1,0.04249985113691224
CHAF1B,0,0,0.7738725063488634
CHCHD6,1,1,0.08703388432937384
CHD3,1,0,0.8282049391867808
CHGA,1,1,0.0013480199733232668
CHKB,1,1,0.00038050622166737604
CHMP1B,1,0,0.7487673890524693
CHMP4C,1,0,0.8539110125882783
CHMP6,0,0,0.7498089983422191
CHRNA6,1,1,0.0014244134563953458
CHRNB3,1,1,0.0005154392900241223
CHRNB4,1,1,0.025775099074546448
CHST11,1,1,0.0005770429382923159
CHST7,1,1,0.0009197425064468301
CHURC1,1,1,0.00119641241478744
CIB1,1,1,0.02299374555200472
CIB3,1,0,0.5803982675482087
CIITA,1,1,0.0033203927905668396
CILP,1,1,0.00627401224343146
CIPC,1,1,0.022885211303520635
CKAP4,1,1,0.28777256472611323
CLC,1,1,0.006367716027729143
CLCA4,1,1,0.0007143068885146042
CLCF1,1,1,0.0011837261166884772
CLCN3,1,1,0.007427849253358654
CLCN5,1,1,0.0009577267734417916
CLDN10,1,1,0.000576479569420052
CLDN12,1,1,0.0050960390099777705
CLDN16,1,1,0.0002749088242787079
CLDN3,1,1,0.0012814088392854362
CLDN6,1,1,0.00018757077291792212
CLEC16A,1,1,0.0022041840109067513
CLEC1B,1,1,0.00012276481710926657
CLEC4G,1,1,0.0004253152634886126
CLIC2,1,1,0.00102292505444318
CLIP4,1,1,0.0023462104967091777
CLN6,1,1,0.017717509184140445
CLRN2,1,1,0.007226838949377956
CLSPN,0,0,0.909036986093685
CLSTN1,1,1,0.03322663542599476
CLTA,1,0,0.8103600657213953
CLTB,1,0,0.7332285061034626
CLTRN,1,1,0.015422889688646002
CLYBL,1,1,0.005102018091608362
CMIP,1,1,0.006931966159423275
CMTM1,1,1,0.0002919279133924979
CMTR2,1,0,0.8383324588225284
CNEP1R1,1,1,0.042406653983849865
CNGA2,1,1,0.0022592979057187933
CNGA3,1,1,0.0032048591675518877
CNGB1,1,1,0.019603333728431194
CNGB3,1,1,0.0006584284918945915
CNIH2,1,1,0.000864083189865883
CNKSR3,1,1,0.0010704022449834817
CNMD,1,1,0.011929074132842854
CNNM2,1,1,0.001492439932013201
CNOT10,1,0,0.7362333640640858
CNOT11,1,0,0.84950783231029
CNOT6L,1,0,0.6370809537338319
CNPY2,1,1,0.01735914388509143
CNPY3,1,1,0.04976776730144605
CNR2,1,1,0.00045779239993707364
CNRIP1,1,1,0.0002495553102018655
CNST,1,1,0.0019033075745460981
CNTN4,1,1,0.00016686292500198708
COA1,1,1,0.020433064084675222
COA8,1,1,0.05322925886765325
COL16A1,1,1,0.0036844819294479803
COL19A1,1,1,0.00037880825758258575
COL1A1,1,1,0.08479928606781473
COL20A1,1,1,0.0006944629361519073
COL21A1,1,1,0.00035621084417559735
COL23A1,1,1,0.0005431801837569195
COL4A1,1,1,0.008627709631608383
COL4A5,1,1,0.07761908454201318
COMMD1,1,1,0.4340186236023609
COMMD8,1,1,0.462228369128157
COP1,1,0,0.6917566960847631
COPG1,0,0,0.993410973270796
COPS7A,1,0,0.9681628047185873
COPS9,1,0,0.5603758581833226
COQ3,1,1,0.2412749950148943
COQ6,1,1,0.21741435702737727
COQ7,1,1,0.3752133753851065
COQ9,1,1,0.49335759183625366
CORO6,1,1,0.0038640742229981706
COX7A1,1,1,0.005362400713837412
COX7B,1,1,0.1162488193206791
COX7C,1,0,0.8626952855616483
COX8A,1,0,0.6555509847362202
CPA5,1,1,0.0004346806685470939
CPEB2,1,1,0.027332506720782267
CPEB3,1,1,0.0036099454694072607
CPLX4,1,1,0.011216675852869363
CPM,1,1,0.0024514654390674906
CPN2,1,1,0.00031192197022660294
CPNE3,1,1,0.07405774384589461
CPNE9,1,1,0.0003372656700542542
CPSF1,0,0,0.9979019784366454
CPT1A,1,1,0.18181087736332174
CPVL,1,1,0.005411249051266542
CRACR2B,1,1,0.0039463245317742255
CRAMP1,1,1,0.07675786069385378
CRBN,1,1,0.19486234291184015
CREM,1,1,0.015094871995450166
CRHR2,1,1,0.0002848588563017507
CRNKL1,0,0,0.9962294687014502
CRTC1,1,1,0.001460640064258867
CRYBB1,1,1,0.0011372682178451665
CRYBG1,1,1,0.4545684308283665
CRYGC,1,1,0.012224591478667491
CSF1,1,1,0.0034725310739705307
CSGALNACT1,1,1,0.0008785202754999944
CSK,1,1,0.03883636899275694
CSNK1G3,1,1,0.08258557379533908
CST7,1,1,0.0005264392108596527
CST9,1,1,0.00027759555336603903
CT55,1,1,0.0014614694290594255
CTAG2,1,1,0.0020679592770783796
CTC1,1,0,0.8390117497724325
CTCFL,1,1,0.028033330645713183
CTDP1,0,0,0.9933351796250978
CTDSP1,1,1,0.14193559056013508
CTNNAL1,1,1,0.0008937886073853485
CTNNBL1,0,0,0.9885778077215782
CTNND1,1,1,0.44351170040292953
CTPS1,1,0,0.7103132252846306
CTRB1,1,1,0.0001652466194773772
CTSW,1,1,0.00023197828970199507
CTTNBP2NL,1,1,0.05274193903314729
CUEDC1,1,1,0.02343039004167776
CUL1,1,0,0.9827123896369546
CUTC,1,1,0.08314750603901266
CUX1,1,1,0.10267390672333705
CWC27,1,0,0.9132041967526112
CXCL13,1,1,0.0009499576872045168
CXCR5,1,1,0.0017034325631874903
CXXC5,1,1,0.0012599955161886611
CXorf38,1,1,0.0006924176451719499
CXorf66,1,1,0.00025820332748242023
CYB561A3,1,1,0.014229795601434647
CYB561D2,1,1,0.021509722299574107
CYB5R3,1,1,0.240240184561696
CYBC1,1,1,0.3432675037793144
CYP11B2,1,1,0.0003050913833267499
CYP19A1,1,1,0.0047033681190181255
CYP26B1,1,1,0.0005103002222296537
CYP27C1,1,1,0.00030322807242743054
CYP2A6,1,1,0.006602349252691519
CYP2A7,1,1,0.0015811871315688842
CYP2C8,1,1,0.0015284236926153994
CYP2W1,1,1,0.0005921409036971026
CYP3A43,1,1,0.0015283230245055068
CYP4F3,1,1,0.001113365428835633
CYP4X1,1,1,0.00029013188081773446
CYTH1,1,1,0.048604403860458646
CYYR1,1,1,0.0002860951666648681
CZIB,1,1,0.289767502400192
DACT1,1,1,0.019412478492395878
DAOA,1,1,0.0002090867644546135
DAP3,0,0,0.8904796698467671
DAPL1,1,1,0.00024155593036134793
DBF4B,1,1,0.10138592304959948
DBT,1,1,0.4930974178079891
DCAF12,1,1,0.3820772499800528
DCAF16,1,1,0.3074210197032201
DCAF6,1,0,0.6279333271532634
DCBLD2,1,1,0.0021806606486343694
DCDC1,1,1,0.0006087790618057864
DCLK2,1,1,0.0005420750406754937
DCP2,1,0,0.9663924794116697
DCSTAMP,1,1,0.0006934521058274857
DCUN1D3,1,1,0.03811170449770303
DDAH2,1,1,0.013378362283482603
DDC,1,1,0.000646102443415264
DDHD1,1,1,0.007532853024779018
DDOST,0,0,0.8660162614064338
DDX19B,1,0,0.8039689737487073
DDX28,1,0,0.705812994944251
DDX31,1,0,0.6123064985472053
DDX46,0,0,0.9992053785584437
DEAF1,1,1,0.07574844321530386
DEDD2,1,1,0.0067267497336463864
DEF8,1,1,0.011288021002673832
DEFA5,1,1,0.005792081253855186
DEFA6,1,1,0.0004961869872081692
DEFB115,1,1,0.0010235483878992756
DEFB131A,1,1,0.0160029958480587
DEFB132,1,1,0.0006256349291360985
DEK,1,0,0.9686411398477512
DENND2D,1,1,0.007665244774123325
DESI2,1,1,0.015117652001556615
DET1,1,1,0.15965163041237215
